PAGINA,DESCRIPCION,PRECIO,SUGERIDO,CONTADO,CLAVE
48,075-08 (5 al 9) AZUL MARINO,31.52,47.28,29.52,8025677
48,028-30 (5 al 10) MIEL,33.04,49.56,31.04,8026997
50,606-43 (5 al 9 Enteros) NEGRO,32.58,48.87,30.58,8026597
50,028-32 (5 al 9.5) NEGRO,31.52,47.28,29.52,8025677
50,021-03 (5 al 10) CHOCOLATE,32.58,48.87,30.58,8026597
52,319-08 (5 al 9) AZUL MARINO,31.82,47.73,29.82,8025937
52,028-34 (5 al 10) MIEL,34.88,52.32,32.88,8028597
52,028-33 (5 al 10) MIEL,34.88,52.32,32.88,8028597
54,007-60 (5 al 9) ORO,29.52,44.28,27.52,8023937
54,007-64 (5 al 9) AZUL MARINO,29.52,44.28,27.52,8023937
54,007-63 (5 al 9) MIEL,29.52,44.28,27.52,8023937
56,483-03 (5 al 10) NEGRO,25.68,38.52,23.68,8020597
56,014-13 (5 al 10) NEGRO,25.68,38.52,23.68,8020597
56,014-12 (5 al 10) CAFÉ,25.68,38.52,23.68,8020597
57,657-07 (5 al 10) MIEL,32.28,48.42,30.28,8026337
58,604-01 (5 al 9.5) AZUL MARINO,27.22,40.83,25.22,8021937
58,438-08 (5 al 9) CAFÉ,31.06,46.59,29.06,8025277
60,625-79 (5 al 9.5) MAQUILLAJE,31.06,46.59,29.06,8025277
60,620-54 (5 al 10 Enteros) NEGRO,27.98,41.97,25.98,8022597
60,727-27 (5 al 10) NEGRO,32.58,48.87,30.58,8026597
61,606-44 (5 al 9 Enteros) NEGRO,33.04,49.56,31.04,8026997
61,039-06 (5 al 10) NEGRO,26.46,39.69,24.46,8021277
62,480-09 (5 al 10) AZUL MARINO,34.88,52.32,32.88,8028597
64,039-04 (5 al 10) NEGRO,19.99,29.99,17.99,8015677
64,003-18 (5 al 10) NEGRO,32.28,48.42,30.28,8026337
64,438-07 (5 al 9) MIEL,28.76,43.14,26.76,8023277
66,576-01 (5 al 10 Enteros) CAFÉ,31.06,46.59,29.06,8025277
66,596-01 (5 al 9.5) NEGRO,27.98,41.97,25.98,8022597
66,727-29 (5 al 10) NEGRO,32.58,48.87,30.58,8026597
68,008-32 (5 al 10) NEGRO,33.82,50.73,31.82,8027677
68,008-43 (5 al 9.5) NEGRO,29.52,44.28,27.52,8023937
68,627-11 (5 al 10) MIEL,30.28,45.42,28.28,8024597
69,052-02 (5 al 10) NEGRO,34.12,51.18,32.12,8027937
70,562-01 (5 al 9) NEGRO,26.46,39.69,24.46,8021277
70,008-44 (5 al 9.5) CHOCOLATE,30.28,45.42,28.28,8024597
71,658-95 (5 al 10 Enteros) ORO,28.76,43.14,26.76,8023277
71,016-09 (5 al 10 Enteros) CHOCOLATE,29.52,44.28,27.52,8023937
72,658-94 (5 al 10 Enteros) HUESO,27.98,41.97,25.98,8022597
74,658-96 (5 al 10 Enteros) NEGRO,28.76,43.14,26.76,8023277
74,658-97 (5 al 10 Enteros) METALICO,27.22,40.83,25.22,8021937
74,727-28 (5 al 10) CAFÉ,32.58,48.87,30.58,8026597
75,601-02 (5 al 9 Enteros) CAFÉ,23.38,35.07,21.38,8018597
75,571-02 (5 al 9.5) MIEL,32.28,48.42,30.28,8026337
76,601-03 (5 al 9 Enteros) NEGRO,24.16,36.24,22.16,8019277
78,620-53 (5 al 10 Enteros) MIEL,33.04,49.56,31.04,8026997
78,620-56 (5 al 10 Enteros) AZUL MARINO,31.82,47.73,29.82,8025937
78,687-05 (5 al 10 Enteros) CAMEL,36.42,54.63,34.42,8029937
79,108-07 Limpiador De Ante ,5.44,8.16,3.44,8002997
79,108-12 Dilatador Para Todo Tipo De Piel,5.76,8.64,3.76,8003277
79,108-01 Esponja Limpiadora,4.98,7.47,2.98,8002597
80,300-01 BOLSA ROJA,3.46,5.19,1.46,8001277
80,108-23 ONE SIZE CONFORT PIE GEL,5.19,7.79,3.19,8002797
80,"100-06 Férula Para Juanetes y Uñas Enterradas (S, M, L)",9.58,14.37,7.58,8006597
81,108-18 Talonera Espolón,3.99,5.99,1.99,8001737
81,100-03 Plantilla Paso Seguro Dama 5 al 9,6.75,10.13,4.75,8004137
81,100-12 Plantilla Paso Seguro Caballero 8 al 12,6.75,10.13,4.75,8004137
81,108-02 Plantilla De Confort Dama 5 al 9,3.92,5.88,1.92,8001677
82,108-04 Plantilla Pie Confortable,3.69,5.54,1.69,8001477
82,100-07 Plantilla Anatómica Dama 5 al 9,4.06,6.09,2.06,8001797
82,100-10 Plantilla Anatómica Caballero 8 al 12,4.06,6.09,2.06,8001797
82,100-02 Plantilla Gel Anti-impacto Dama 5 al 9,11.35,17.03,9.35,8008137
82,100-11 Plantilla Gel Anti-impacto Caballero 8 al 12,11.35,17.03,9.35,8008137
