PAGINA,MODELO,PRECIO,
103,"251-82 (S,M,L,XL) MULTICOLOR",     13.99 ,
103,825-18 (S/M Y L/XL) NEGRO/ORO,     14.99 ,
103,"360-29 (S,M,L,XL) AZUL REY",     15.99 ,
104,"166-63 (S,M,L,XL) CEREZA",    32.99 ,
105,"929-15 (S,M,L,XL) IVORY",     22.99 ,
105,"934-14 (5,7,9,11,13) AZUL MEZCLILLA",     31.99 ,
106,"934-14 (5,7,9,11,13) AZUL MEZCLILLA",     31.99 ,
107,"929-06 (S,M,L,XL) VERDE JADE",     19.99 ,
107,"210-35 (5,7,9,11,13) AZUL INDIGO/ORO",     29.99 ,
108,396-39 (S/M Y L/XL) ORO,     14.99 ,
108,"950-23 (S,M,L,XL) AZUL MARINO",     25.99 ,
109,"981-26 (5,7,9,11,13) AZUL",     25.99 ,
110,"981-26 (5,7,9,11,13) AZUL",     25.99 ,
110,825-16 (S/M Y L/XL) TRIO MULTICOLOR,     13.99 ,
110,"166-61 (S,M,L,XL) MULTICOLOR",     28.99 ,
111,"970-40 (5,7,9,11,13) BLANCO",     30.99 ,
111,"104-14 (S,M,L,XL) AZUL MARINO",     19.99 ,
112,730-28 ONE SIZE ORO,     10.99 ,
112,"970-38 (5,7,9,11,13) AZUL INDIGO",     30.99 ,
112,"967-07 (S,M,L,XL) VERDE",     17.99 ,
113,"206-41 (S,M,L,XL) BLANCO",     26.99 ,
115,"883-17 (S,M,L,XL) BLANCO",     26.99 ,
116,"104-18 (S,M,L,XL) FIUSHA",     31.99 ,
117,"908-10 (S,M,L,XL) NEGRO",     18.99 ,
117,730-29 ONE SIZE ORO,        8.99 ,
117,"209-10 (5,7,9,11,13) ROSA",     20.99 ,
118,"166-68 (S,M,L,XL) BLANCO",     30.99 ,
119,"251-82 (S,M,L,XL) MULTICOLOR",     13.99 ,
120,"251-82 (S,M,L,XL) MULTICOLOR",     13.99 ,
120,"980-22 (S,M,L,XL) NEGRO",     23.99 ,
121,"130-22 (S,M,L,XL) MAGENTA",     24.99 ,
122,612-14 (S/M Y L/XL) NEGRO/ORO,     14.99 ,
122,"876-21 (S,M,L,XL) NEGRO",     29.99 ,
123,"088-02 (S,M,L,XL) IVORY/NEGRO",     27.99 ,
124,"103-25 (5,7,9,11,13) NEGRO",     22.99 ,
124,"985-03 (S,M,L,XL) IVORY",     29.99 ,
124,"903-04 (S,M,L,XL) ROSA",     17.99 ,
125,"200-05 (S,M,L,XL) NEGRO/IVORY",     19.99 ,
126,"200-05 (S,M,L,XL) NEGRO/IVORY",     19.99 ,
126,"948-16 (S,M,L,XL) FIUSHA",     23.99 ,
127,"462-04 (S,M,L,XL) NEGRO",     14.99 ,
127,"105-27 (S,M,L,XL) IVORY",     23.99 ,
128,"105-28 (S,M,L,XL) BLANCO/NEGRO",     28.99 ,
128,396-38 (S/M Y L/XL) NEGRO,     14.99 ,
129,"130-30 (S,M,L,XL) NEGRO",     27.99 ,
130,"103-25 (5,7,9,11,13) NEGRO",     22.99 ,
130,"200-06 (S,M,L,XL) ROSA",     22.99 ,
131,"972-03 (S,M,L,XL) FIUSHA",     13.99 ,
132,"104-16 (S,M,L,XL) IVORY",     24.99 ,
132,"972-03 (S,M,L,XL) FIUSHA",     13.99 ,
133,"103-25 (5,7,9,11,13) NEGRO",     22.99 ,
133,"903-04 (S,M,L,XL) ROSA",     17.99 ,
134,"929-07 (S,M,L,XL) BLANCO/NEGRO",     23.99 ,
134,612-14 (S/M Y L/XL) NEGRO/ORO,     14.99 ,
134,"200-05 (S,M,L,XL) NEGRO/IVORY",     19.99 ,
135,"970-40 (5,7,9,11,13) BLANCO",     30.99 ,
136,"908-12 (S,M,L,XL) ROSA",     25.99 ,
136,"970-40 (5,7,9,11,13) BLANCO",     30.99 ,
137,772-03 (S/M Y L/XL) NEGRO,     14.99 ,
137,"200-05 (S,M,L,XL) NEGRO/IVORY",     19.99 ,
137,"125-86 (S,M,L,XL) NEGRO",     15.99 ,
139,825-17 (S/M Y L/XL) ORO/CAMEL,     14.99 ,
139,"887-36 (S,M,L,XL) MULTICOLOR",     26.99 ,
140,"147-50 (S,M,L,XL) MULTICOLOR",     26.99 ,
141,825-16 (S/M Y L/XL) TRIO MULTICOLOR,     13.99 ,
141,"196-29 (5,7,9,11,13) AZUL INDIGO",     31.99 ,
141,"209-14 (S,M,L,XL) MULTICOLOR",     20.99 ,
142,"296-52 (S,M,L,XL) AZUL MARINO",     27.99 ,
143,"970-38 (5,7,9,11,13) AZUL INDIGO",     30.99 ,
144,"929-14 (S,M,L,XL) AZUL CLARO",     19.99 ,
144,730-29 ONE SIZE ORO,        8.99 ,
144,"970-38 (5,7,9,11,13) AZUL INDIGO",     30.99 ,
145,"208-21 (5,7,9,11,13) AZUL MARINO",     25.99 ,
145,"219-74 (S,M,L,XL) DURAZNO",     23.99 ,
146,"970-40 (5,7,9,11,13) BLANCO",     30.99 ,
146,"920-33 (S,M,L,XL) AMARILLO",     21.99 ,
147,"981-27 (5,7,9,11,13) AZUL INDIGO",     24.99 ,
148,"360-27 (S,M,L,XL) LAVANDA",     18.99 ,
148,"981-27 (5,7,9,11,13) AZUL INDIGO",     24.99 ,
